3,,2,1,,11,19700108_193226-19700108_194722,71,7,16.8431,m0ebbbbeeeeeebdbcbfeeccbbemeefccbccbbcefefbebceefeccbcmffmmeeeefmbbcbbb,m,0,e,b,b,b,b,e,e,e,e,e,e,b,d,b,c,b,f,e,e,c,c,b,b,e,m,e,e,f,c,c,b,c,c,b,b,c,e,f,e,f,b,e,b,c,e,e,f,e,c,c,b,c,m,f,f,m,m,e,e,e,e,f,m,b,b,c,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2,1,,11,19700108_203314-19700108_204706,98,8,28.2602,dbemmmbcmbbbacbecbabbmbbebecfbddcmbabcbbecmb0dbfcacmmmmbffbmmmmammmmmmmbb0effcmfedmmmammmmeebabdba,d,b,e,m,m,m,b,c,m,b,b,b,a,c,b,e,c,b,a,b,b,m,b,b,e,b,e,c,f,b,d,d,c,m,b,a,b,c,b,b,e,c,m,b,0,d,b,f,c,a,c,m,m,m,m,b,f,f,b,m,m,m,m,a,m,m,m,m,m,m,m,b,b,0,e,f,f,c,m,f,e,d,m,m,m,a,m,m,m,m,e,e,b,a,b,d,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2,1,,11,19700108_213258-19700108_214650,189,9,59.1635,ecbbccbbamccecbcdbffedbeb0emcm0ec0ee0bffbmcffbmmmccddffccfabacbemdebcfabbccmfecf0abfcbemfabcbe0abcbmmfbmffffemcebmeffccbabmmbb0dbdeecbbeadcmmmbcadbmbabbba0abbbmm0bb0ecefeefefefbeeccbcbebabc,e,c,b,b,c,c,b,b,a,m,c,c,e,c,b,c,d,b,f,f,e,d,b,e,b,0,e,m,c,m,0,e,c,0,e,e,0,b,f,f,b,m,c,f,f,b,m,m,m,c,c,d,d,f,f,c,c,f,a,b,a,c,b,e,m,d,e,b,c,f,a,b,b,c,c,m,f,e,c,f,0,a,b,f,c,b,e,m,f,a,b,c,b,e,0,a,b,c,b,m,m,f,b,m,f,f,f,f,e,m,c,e,b,m,e,f,f,c,c,b,a,b,m,m,b,b,0,d,b,d,e,e,c,b,b,e,a,d,c,m,m,m,b,c,a,d,b,m,b,a,b,b,b,a,0,a,b,b,b,m,m,0,b,b,0,e,c,e,f,e,e,f,e,f,e,f,b,e,e,c,c,b,c,b,e,b,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2,1,,11,19700108_223242-19700108_224634,64,10,14.0397,ffmmm0babebfmamffffcmecedmmbceefefefeffmcbb0ecmcfeefcabcefefcefb,f,f,m,m,m,0,b,a,b,e,b,f,m,a,m,f,f,f,f,c,m,e,c,e,d,m,m,b,c,e,e,f,e,f,e,f,e,f,f,m,c,b,b,0,e,c,m,c,f,e,e,f,c,a,b,c,e,f,e,f,c,e,f,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6-8 October,2,1,,11,19700117_001729-19700117_003314,41,1,12.4675,edbcbcdcbbecmbbbfcbcbb0edbdbbbbmmma0bbcbb,e,d,b,c,b,c,d,c,b,b,e,c,m,b,b,b,f,c,b,c,b,b,0,e,d,b,d,b,b,b,b,m,m,m,a,0,b,b,c,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2,1,,11,19700117_013305-19700117_014850,61,2,22.279,efcm0cbmfcefcbecccmfmc0ecb0efcbecbffcdc0eedbbebccmbecmmmcc0ed,e,f,c,m,0,c,b,m,f,c,e,f,c,b,e,c,c,c,m,f,m,c,0,e,c,b,0,e,f,c,b,e,c,b,f,f,c,d,c,0,e,e,d,b,b,e,b,c,c,m,b,e,c,m,m,m,c,c,0,e,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2,1,,11,19700117_021818-19700117_023050,102,3,30.3935,cmmecbbecbbbbbbbbbbfbbbbbbbbmaebbbbcbfbbbbebbaabmfbbcbbbafdbbbbfbbebccbbdbbbbecdbfebbadcbbccbbebbfbccb,e,c,b,c,m,m,e,c,b,b,e,c,b,b,b,b,b,b,b,b,b,b,f,b,b,b,b,b,b,b,b,m,a,e,b,b,b,b,c,b,f,b,b,b,b,e,b,b,a,a,b,m,f,b,b,c,b,b,b,a,f,d,b,b,b,b,f,b,b,e,b,c,c,b,b,d,b,b,b,b,e,c,d,b,f,e,b,b,a,d,c,b,b,c,c,b,b,e,b,b,f,b,c,c,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2,1,,11,19700117_034729-19700117_040314,23,4,8.3263,cedebbebbbeccedcbc0emff,c,e,d,e,b,b,e,b,b,b,e,c,c,e,d,c,b,c,0,e,m,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2,1,,11,19700117_0514747-19700117_052714,194,5,53.732,ceemcbbbacmcccbbb0eccaecbb0ccebbbccbb0ecbbbmmbmmmbcbmmmeebbbfmbbdbcbbbbbbbbbdbfbbbbb0eecbabbcbbbcbbbecbbeacmbdcbbfbdbabmbecbbcbfcbabmmbbbbbbbbbbbbmafmbfmmabmmmmabbcb0edbcdmmbafcbfdc0eedcbffbbbdd,c,e,e,m,c,b,b,b,a,c,m,c,c,c,b,b,b,0,e,c,c,a,e,c,b,b,0,c,c,e,b,b,b,c,c,b,b,0,e,c,b,b,b,m,m,b,m,m,m,b,c,b,m,m,m,e,e,b,b,b,f,m,b,b,d,b,c,b,b,b,b,b,b,b,b,b,d,b,f,b,b,b,b,b,0,e,e,c,b,a,b,b,c,b,b,b,c,b,b,b,e,c,b,b,e,a,c,m,b,d,c,b,b,f,b,d,b,a,b,m,b,e,c,b,b,c,b,f,c,b,a,b,m,m,b,b,b,b,b,b,b,b,b,b,b,b,m,a,f,m,b,f,m,m,a,b,m,m,m,m,a,b,b,c,b,0,e,d,b,c,d,m,m,b,a,f,c,b,f,d,c,0,e,e,d,c,b,f,f,b,b,b,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2,1,,11,19700117_203529-19700117_205114,437,6,125.012,def0f0efdddcbfbef0mdcbedc0ffdcbecbecbeecbbfcmemebffeffeecmcf0eddmmmbcmma0ebeedbcefbbbbfbbefedbebb0bbecbcbbfcbbma0fbbbbfbabfbbbebbeedcbcmmmmafbeebeebbebbbeacbeacbbffdddbcmmmmaebbbmmbbfbbebebbfbccmmmcmbbaeebbbbbbeacbbbecbacbebb0emebbbbdmmafdb0cbcbbccbbcmafebbeedbccbdaebcecbabcbbeccbebfabbacbebdmmcddbeebbccbaecbefcbebbaabfcbmmbebbaeebbcfbafdbbbedbecb0cbbabddcdcdddcafebcbbffccebebbebbabmcbebmmmbcebbebbbaefbffbedbaefcbbbbcbeembbcbbfeedbem,d,e,f,0,f,0,e,f,d,d,d,c,b,f,b,e,f,0,m,d,c,b,e,d,c,0,f,f,d,c,b,e,c,b,e,c,b,e,e,c,b,b,f,c,m,e,m,e,b,f,f,e,f,f,e,e,c,m,c,f,0,e,d,d,m,m,m,b,c,m,m,a,0,e,b,e,e,d,b,c,e,f,b,b,b,b,f,b,b,e,f,e,d,b,e,b,b,0,b,b,e,c,b,c,b,b,f,c,b,b,m,a,0,f,b,b,b,b,f,b,a,b,f,b,b,b,e,b,b,e,e,d,c,b,c,m,m,m,m,a,f,b,e,e,b,e,e,b,b,e,b,b,b,e,a,c,b,e,a,c,b,b,f,f,d,d,d,b,c,m,m,m,m,a,e,b,b,b,m,m,b,b,f,b,b,e,b,e,b,b,f,b,c,c,m,m,m,c,m,b,b,a,e,e,b,b,b,b,b,b,e,a,c,b,b,b,e,c,b,a,c,b,e,b,b,0,e,m,e,b,b,b,b,d,m,m,a,f,d,b,0,c,b,c,b,b,c,c,b,b,c,m,a,f,e,b,b,e,e,d,b,c,c,b,d,a,e,b,c,e,c,b,a,b,c,b,b,e,c,c,b,e,b,f,a,b,b,a,c,b,e,b,d,m,m,c,d,d,b,e,e,b,b,c,c,b,a,e,c,b,e,f,c,b,e,b,b,a,a,b,f,c,b,m,m,b,e,b,b,a,e,e,b,b,c,f,b,a,f,d,b,b,b,e,d,b,e,c,b,0,c,b,b,a,b,d,d,c,d,c,d,d,d,c,a,f,e,b,c,b,b,f,f,c,c,e,b,e,b,b,e,b,b,a,b,m,c,b,e,b,m,m,m,b,c,e,b,b,e,b,b,b,a,e,f,b,f,f,b,e,d,b,a,e,f,c,b,b,b,b,c,b,e,e,m,b,b,c,b,b,f,e,e,d,b,e,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2,1,,11,19700117_233502-19700117_234738,26,7,10.3805,dcb0f0f0f0f0mf0mffc0f0dc0c,d,c,b,0,f,0,f,0,f,0,f,0,m,f,0,m,f,f,c,0,f,0,d,c,0,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
